flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544026.75,20.694048,0,0.0013719803,659.3597773212853,250.29849210463968,1191,528378.25,19.910685,2263.3792,1.2343057,544026.75,20.694048,0,,,,,659.3597773212853,3.5019828e-05,250.29849210463968,5.282598e-05,0.008664379,0.037111446
544132.56,20.681545,0,0.0013725695,659.35974068648,250.2985500286855,1192,528452.5,19.911718,2263.9531,1.231409,544132.56,20.681545,0,,,,,659.35974068648,3.5015575e-05,250.2985500286855,5.283225e-05,0.008544025,0.037010014
544144.5,20.685175,8192,0.0013731585,659.3596011641301,250.29801680095338,1193,528508.4,19.912367,2264.8486,1.2315001,544144.5,20.685175,8192,,,,,659.3596011641301,3.5013283e-05,250.29801680095338,5.2812822e-05,0.008491516,0.036839064
544074.0,20.694614,0,0.0013737476,659.3593177969353,250.29805938756007,1194,528476.25,19.910652,2263.4607,1.2305727,544074.0,20.694614,0,,,,,659.3593177969353,3.5012352e-05,250.29805938756007,5.2812804e-05,0.0082984,0.036776863
544146.8,20.687557,0,0.0013743365,659.3592052535035,250.2975638211944,1195,528461.5,19.911093,2266.5469,1.2328793,544146.8,20.687557,0,,,,,659.3592052535035,3.5017245e-05,250.2975638211944,5.2832263e-05,0.007995191,0.03610367
544169.06,20.692543,0,0.0013749254,659.3587679955265,250.29801539108433,1196,528536.94,19.912142,2263.6304,1.2333975,544169.06,20.692543,0,,,,,659.3587679955265,3.501302e-05,250.29801539108433,5.28154e-05,0.007769948,0.036797803
544097.94,20.693317,0,0.0013755142,659.3589268725516,250.29811581230024,1197,528470.56,19.911295,2267.2688,1.2335554,544097.94,20.693317,0,,,,,659.3589268725516,3.501606e-05,250.29811581230024,5.2822863e-05,0.007850452,0.03686864
544095.0,20.69736,0,0.0013761029,659.3590246973206,250.29864368019494,1198,528493.0,19.912594,2264.1704,1.2321197,544095.0,20.69736,0,,,,,659.3590246973206,3.5014265e-05,250.29864368019494,5.2812687e-05,0.0080232015,0.037456468
544176.2,20.695295,0,0.0013766916,659.3591571769408,250.29796754846876,1199,528513.3,19.911896,2263.506,1.2341108,544176.2,20.695295,0,,,,,659.3591571769408,3.5013836e-05,250.29796754846876,5.28312e-05,0.007991414,0.036634017
544152.94,20.701195,0,0.0013772801,659.3592803717495,250.298180330923,1200,528494.3,19.911518,2264.1875,1.2321508,544152.94,20.701195,0,,,,,659.3592803717495,3.5015124e-05,250.298180330923,5.2829662e-05,0.00815109,0.0367615
